fill_id,Date,Ticker,Action,Shares,Price ($),Commission,Account,Notes
F001,01/05/2023,AAPL,BUY,50,130.50,4.99,ACCT-001,Initial AAPL position
F002,01/08/2023,AAPL,Buy,50,132.20,4.99,ACCT-001,Add to AAPL position
F002,01/08/2023,AAPL,Buy,50,132.20,4.99,ACCT-001,Add to AAPL position (DUPLICATE)
F003,01/12/2023,AAPL,SELL,100,139.80,4.99,ACCT-001,Close AAPL -- quick winner
F004,01/15/2023,MSFT,buy,30,240.00,4.99,ACCT-001,Initial MSFT position
F005,01/20/2023,NVDA,BUY,20,145.00,4.99,ACCT-001,Initial NVDA position
F006,01/28/2023,NVDA,SELL,20,158.50,4.99,ACCT-001,Close NVDA -- quick winner
F007,02/01/2023,MSFT,BUY,20,232.00,4.99,ACCT-001,Average down MSFT (loser position)
F008,02/15/2023,TSLA,Buy,15,195.00,4.99,ACCT-001,Initial TSLA position
F009,02/20/2023,TSLA,BUY,10,182.00,4.99,ACCT-001,Average down TSLA (loser position)
F010,02/28/2023,AMZN,BUY,10,97.00,4.99,ACCT-001,Initial AMZN position
F011,03/05/2023,AMZN,buy,5,91.00,4.99,ACCT-001,Average down AMZN (loser position)
F_BAD,03/10/2023,JUNK,BUY,-5,100.00,0.00,ACCT-001,Invalid row -- negative quantity
F012,03/15/2023,TSLA,sell,5,178.00,4.99,ACCT-001,Partial close TSLA -- loser
F013,04/01/2023,META,BUY,25,215.00,4.99,ACCT-001,Initial META position
F014,04/15/2023,META,sell,25,232.00,4.99,ACCT-001,Close META -- quick winner
F015,04/20/2023,AAPL,BUY,40,165.00,4.99,ACCT-001,New AAPL position
F016,04/26/2023,AAPL,sell,40,172.00,4.99,ACCT-001,Close AAPL -- quick winner
F017,05/10/2023,TSLA,SELL,10,170.00,4.99,ACCT-001,Partial close TSLA -- loser
F018,05/15/2023,JPM,BUY,20,135.00,4.99,ACCT-001,Initial JPM position
F019,05/20/2023,JPM,SELL,20,143.00,4.99,ACCT-001,Close JPM -- quick winner
F020,06/01/2023,TSLA,sell,10,168.00,4.99,ACCT-001,Final close TSLA -- loser (held 3.5 months)
F021,06/15/2023,MSFT,SELL,50,233.00,4.99,ACCT-001,Final close MSFT -- loser (held 5 months)
F022,06/22/2023,AMZN,sell,15,88.00,4.99,ACCT-001,Final close AMZN -- loser (held 4 months)
F023,07/05/2023,GOOGL,BUY,8,120.00,4.99,ACCT-001,Initial GOOGL position
F024,07/18/2023,GOOGL,SELL,8,132.50,4.99,ACCT-001,Close GOOGL -- quick winner
